date,tmin,tmax,prcp,snow,snwd,awnd
2017-01-01,41,10.0,0.54,0.0,0.0,6.49
2017-01-08,15,-2.78,0.0,0.0,1.2,4.92
2017-01-16,44,10.56,0.0,0.0,0.0,4.47
2017-01-23,43,15.56,0.28,0.0,0.0,9.84
2017-02-07,49,24.44,0.0,0.0,0.0,12.53
2017-02-08,54,23.33,0.09,0.0,0.0,5.82
2017-02-21,44,18.89,0.0,0.0,0.0,5.82
2017-02-24,47,26.67,0.0,0.0,0.0,3.58
2017-02-25,52,27.22,0.0,0.0,0.0,13.2
2017-02-26,37,13.33,0.0,0.0,0.0,4.47
2017-03-02,39,16.67,0.0,0.0,0.0,8.05
2017-03-03,31,12.22,0.0,0.0,0.0,6.71
2017-03-08,46,20.56,0.05,0.0,0.0,8.5
2017-03-20,30,18.89,0.0,0.0,0.0,3.58
2017-04-03,50,24.44,0.4,0.0,0.0,9.17
2017-04-05,53,25.56,0.32,0.0,0.0,6.71
2017-04-06,50,21.11,0.09,0.0,0.0,15.21
2017-04-07,43,15.0,0.0,0.0,0.0,11.86
2017-04-09,38,25.0,0.0,0.0,0.0,4.47
2017-04-11,55,27.78,0.0,0.0,0.0,10.51
2017-04-18,61,23.33,0.03,0.0,0.0,9.62
2017-04-25,58,21.11,2.17,0.0,0.0,6.93
2017-05-13,52,18.89,0.23,0.0,0.0,4.47
2017-05-19,68,31.67,0.0,0.0,0.0,8.05
2017-05-20,67,32.22,0.0,0.0,0.0,7.38
2017-05-22,68,26.67,0.3,0.0,0.0,8.05
2017-05-23,67,21.67,0.69,0.0,0.0,4.47
2017-05-29,64,30.56,0.08,0.0,0.0,3.13
2017-06-01,62,29.44,0.0,0.0,0.0,1.57
2017-06-02,61,29.44,0.0,0.0,0.0,3.8
2017-06-04,61,32.22,0.38,0.0,0.0,5.82
2017-06-12,67,31.67,0.0,0.0,0.0,6.49
2017-06-14,66,33.89,0.0,0.0,0.0,5.82
2017-06-15,70,32.78,0.0,0.0,0.0,3.36
2017-07-02,71,33.33,0.0,0.0,0.0,4.47
2017-07-05,70,31.67,0.47,0.0,0.0,2.46
2017-07-11,71,35.0,0.0,0.0,0.0,6.93
2017-07-16,73,32.78,0.05,0.0,0.0,5.14
2017-07-19,67,34.44,0.0,0.0,0.0,2.68
2017-07-20,71,37.22,0.0,0.0,0.0,3.8
2017-07-22,76,38.33,0.0,0.0,0.0,10.74
2017-08-03,68,34.44,0.0,0.0,0.0,3.8
2017-08-04,68,33.33,0.0,0.0,0.0,7.16
2017-08-07,74,33.33,0.04,0.0,0.0,10.96
2017-08-13,73,27.22,0.73,0.0,0.0,6.26
2017-08-21,71,33.89,0.0,0.0,0.0,3.13
2017-08-27,63,27.22,0.0,0.0,0.0,9.17
2017-08-31,69,30.56,0.01,0.0,0.0,7.16
2017-09-04,59,30.56,0.0,0.0,0.0,3.58
2017-09-13,61,28.89,0.0,0.0,0.0,6.71
2017-09-22,61,31.67,0.0,0.0,0.0,2.24
2017-09-25,63,28.33,0.0,0.0,0.0,6.71
2017-10-20,43,25.0,0.0,0.0,0.0,2.01
